movie_index,imdb_id
0,114709
1,113497
2,113228
3,114885
4,113041
5,113277
6,114319
7,112302
8,114576
9,113189
10,112346
11,112896
12,112453
13,113987
14,112760
15,112641
16,114388
17,113101
18,112281
19,113845
20,113161
21,112722
22,112401
23,114168
24,113627
25,114057
26,114011
27,114117
28,112792
29,112431
30,112637
31,112818
32,113442
33,112697
34,112749
35,114279
36,112819
37,114272
38,113855
39,114681
40,113347
41,114148
42,114916
43,114814
44,113819
45,110299
46,112499
47,113158
48,113321
49,113419
50,116260
51,113862
52,116126
53,118002
54,115683
55,116839
56,114753
57,113118
58,116367
59,113010
60,113537
61,113828
62,115644
63,115676
64,114367
65,113973
66,112744
67,116731
68,114660
69,114039
70,113612
71,112365
72,118158
73,116151
74,115697
75,113972
76,113490
77,117002
78,114825
79,115639
80,115759
81,113403
82,111173
83,113283
84,115907
85,115734
86,117102
87,118040
88,116483
89,112579
90,117110
91,112573
92,115645
93,113774
94,112373
95,115033
96,116606
97,114536
98,117427
99,106473
100,103859
101,116324
102,110647
103,114131
104,112364
105,113107
106,113451
107,116130
108,113125
109,113756
110,118055
111,115685
112,112585
113,112442
114,112342
115,112461
116,112427
117,109093
118,112384
119,114287
120,112288
121,112462
122,112495
123,112541
124,109370
125,112642
126,112688
127,112715
128,112740
129,109508
130,112851
131,112857
132,112864
133,112887
134,113071
135,113114
136,113243
137,113464
138,113481
139,113492
140,113500
141,113540
142,113677
143,113690
144,107447
145,113729
146,113749
147,113820
148,113851
149,110604
150,110620
151,113957
152,113986
153,114095
154,114194
155,114241
156,114323
157,114345
158,114436
159,114478
160,114496
161,114508
162,114534
163,114558
164,114666
165,114663
166,114702
167,114682
168,114781
169,114798
170,114805
171,114887
172,114898
173,114928
174,114938
175,109340
176,112602
177,112471
178,112508
179,112438
180,112571
181,112757
182,112643
183,112679
184,109445
185,112883
186,109635
187,109676
188,112854
189,109579
190,109642
191,109759
192,109758
193,109707
194,113117
195,113097
196,113028
197,113198
198,113303
199,113089
200,109771
201,113199
202,113234
203,109906
204,110057
205,110005
206,110066
207,110116
208,113360
209,110099
210,110148
211,113463
212,110189
213,110216
